cohort,arch,dx_group,cls,n_sufficient,n_loss,n_indeterminate,sufficient_leads,ceiling,low_ceiling,n_pos_test
ptbxl_snomed,gbm,conduction,RBBB,1,7,4,V1,0.832,False,54
ptbxl_snomed,gbm,hypertrophy,LVH,0,12,0,,0.777,False,234
ptbxl_snomed,gbm,repolarization,STTC,1,0,11,V5,0.157,True,109
ptbxl_snomed,gbm,repolarization,TWC,0,10,2,,0.514,False,232
ptbxl_snomed,gbm,rhythm,AF,8,0,4,"I,II,aVR,aVF,V3,V4,V5,V6",0.893,False,152
ptbxl_snomed,gbm,rhythm,AFL,0,2,10,,0.610,False,7
ptbxl_snomed,gbm,rhythm,SB,0,8,4,,0.689,False,64
ptbxl_snomed,gbm,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.987,False,1826
ptbxl_snomed,gbm,rhythm,ST,3,0,9,"I,II,V6",0.888,False,82
ptbxl_snomed,gbm,rhythm,SVT,9,0,3,"I,II,III,aVR,V2,V3,V4,V5,V6",0.025,True,3
ptbxl_snomed,inceptiontime,axis,LAD,0,12,0,,0.827,False,528
ptbxl_snomed,inceptiontime,conduction,RBBB,1,4,7,V1,0.895,False,54
ptbxl_snomed,inceptiontime,hypertrophy,LVH,0,12,0,,0.753,False,234
ptbxl_snomed,inceptiontime,repolarization,STTC,0,2,10,,0.259,True,109
ptbxl_snomed,inceptiontime,repolarization,TWC,0,9,3,,0.563,False,232
ptbxl_snomed,inceptiontime,rhythm,AF,0,5,7,,0.872,False,152
ptbxl_snomed,inceptiontime,rhythm,AFL,2,0,10,"II,aVR",0.605,False,7
ptbxl_snomed,inceptiontime,rhythm,SB,1,0,11,V3,0.516,False,64
ptbxl_snomed,inceptiontime,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.978,False,1826
ptbxl_snomed,inceptiontime,rhythm,ST,3,0,9,"II,aVR,V1",0.892,False,82
ptbxl_snomed,inceptiontime,rhythm,SVT,5,0,7,"I,III,aVF,V3,V4",0.074,True,3
ptbxl_snomed,seresnet,axis,LAD,0,12,0,,0.816,False,528
ptbxl_snomed,seresnet,conduction,RBBB,1,4,7,V1,0.896,False,54
ptbxl_snomed,seresnet,hypertrophy,LVH,0,12,0,,0.760,False,234
ptbxl_snomed,seresnet,repolarization,STTC,0,1,11,,0.256,True,109
ptbxl_snomed,seresnet,repolarization,TWC,0,9,3,,0.583,False,232
ptbxl_snomed,seresnet,rhythm,AF,9,0,3,"II,aVR,aVF,V1,V2,V3,V4,V5,V6",0.926,False,152
ptbxl_snomed,seresnet,rhythm,AFL,1,0,11,II,0.637,False,7
ptbxl_snomed,seresnet,rhythm,SB,1,0,11,II,0.517,False,64
ptbxl_snomed,seresnet,rhythm,SR,12,0,0,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0.984,False,1826
ptbxl_snomed,seresnet,rhythm,ST,9,0,3,"I,II,III,aVR,aVL,V2,V4,V5,V6",0.891,False,82
ptbxl_snomed,seresnet,rhythm,SVT,0,0,12,,0.189,True,3
