cohort,arch,cls,n_pos,n,d_I_II,d_I_II_lo,d_I_II_hi,d_I_aVF,d_I_aVF_lo,d_I_aVF_hi,d_I+II_LIMB6,d_I+II_LIMB6_lo,d_I+II_LIMB6_hi,d_CH3_CH4,d_CH3_CH4_lo,d_CH3_CH4_hi,pbest_I,pbest_II,pbest_III,pbest_aVR,pbest_aVL,pbest_aVF,pbest_V1,pbest_V2,pbest_V3,pbest_V4,pbest_V5,pbest_V6,optimism_mean
chapman,inceptiontime,SVT,87,1535,0.02020454055439699,-0.026700833144106137,0.0679954652562365,-0.0005221302014094664,-0.06370089082368673,0.051694340038152174,-0.0020617887236148505,-0.045686490816882204,0.029596657260633045,-0.0007106281401393872,-0.01262755901771813,0.009173829485775489,0.004,0.051,0.017,0.014,0.409,0.0,0.501,0.0,0.0,0.0,0.0,0.004,0.01674401650510586
chapman,inceptiontime,SR,274,1535,0.005973201622689389,-0.0025849285015852154,0.01925433692510113,0.004627073794627366,-0.004231937290602108,0.018062282855017566,-0.00036263368798156637,-0.0010123766453255412,0.00019534628688894768,0.0003558160825013317,-0.0005076081874528321,0.00128679390431185,0.001,0.129,0.008,0.353,0.0,0.006,0.3,0.011,0.053,0.009,0.002,0.128,0.002999087543121281
chapman,inceptiontime,ST,235,1535,-0.0017019903641996813,-0.00856851477221085,0.0043040314035867906,0.001965054544731164,-0.003800714917780079,0.007874009620952954,-0.0007127320446192483,-0.0023833850719051975,0.0006380417253318918,-0.0026749464072679903,-0.006708677858680812,7.606050597260167e-05,0.076,0.024,0.044,0.204,0.221,0.415,0.004,0.0,0.0,0.0,0.001,0.011,0.004616730926957215
chapman,inceptiontime,STTC,174,1535,-0.00546582583097725,-0.07301950647590394,0.07171153267841654,-0.052844539106376605,-0.13099974233077263,0.028004631172363383,0.0007441451195113204,-0.025279068714191066,0.025969746315596634,-0.00469481429553923,-0.0322718660062631,0.021820217441307035,0.001,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.977,0.003899520373083697
chapman,inceptiontime,LVH,196,1535,0.1049626595338907,0.04566500239611466,0.16276946223976432,0.05202483291852508,-0.005372322659273173,0.11242291800304892,0.0038850225639338065,-0.013292232501860205,0.022385908965575154,-0.001742861176209415,-0.025256202687860947,0.025143753643755946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003387529471844199
chapman,inceptiontime,RBBB,68,1535,-0.1413574134741249,-0.24078131704846714,-0.05422624291721892,-0.2094363031283358,-0.3123034756389969,-0.10996990425901486,-0.009751529714330995,-0.03733978623367094,0.01021795338648567,0.010476350271917354,-0.00866515793135656,0.038163959723583225,0.036,0.0,0.0,0.0,0.0,0.0,0.92,0.034,0.006,0.0,0.0,0.004,0.006244797577451709
chapman,gbm,AF,267,1535,0.001946994786624199,-0.023333167247204037,0.02830196551249313,0.010470174752904621,-0.01351403010506074,0.03604531812267371,,,,,,,0.054,0.055,0.403,0.023,0.007,0.241,0.065,0.024,0.1,0.024,0.003,0.001,0.025371975406247756
chapman,gbm,AFL,67,1535,0.08925384100490313,-0.03473216024099542,0.21934650097186117,0.07603883280797134,-0.05357239004710927,0.18708817180776963,,,,,,,0.021,0.397,0.153,0.001,0.029,0.26,0.002,0.0,0.0,0.0,0.131,0.006,0.08625264366818022
chapman,gbm,TWC,281,1535,0.11551058745711133,0.05174424322765288,0.18067757107663598,0.0006229508296162259,-0.06196245403572985,0.06927968505227901,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.066,9.331145655543327e-05
chapman,gbm,LAD,57,1535,0.49988416350121745,0.3748185876218171,0.6129049356409537,0.3543401442225227,0.25044755385997963,0.4689906965323922,,,,,,,0.0,0.993,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.010857666345975762
chapman,gbm,SB,583,1535,0.0008581514134032261,1.575710559549859e-05,0.002006410452195542,-0.00015867468077775037,-0.0010099375053647442,0.0008179606000260573,,,,,,,0.004,0.264,0.001,0.0,0.001,0.0,0.001,0.193,0.115,0.274,0.135,0.012,0.000413589668722118
chapman,gbm,SVT,87,1535,0.022730217194964382,-0.0055581095322334685,0.056882268570511284,0.002681282063001594,-0.03329189346725121,0.03480600099870012,,,,,,,0.003,0.203,0.006,0.007,0.633,0.008,0.028,0.003,0.001,0.021,0.006,0.081,0.018631519277790488
chapman,gbm,SR,274,1535,0.0003788373855712455,-0.0029931225696715608,0.0039853560238228445,-0.011546907276425855,-0.022970247154397085,-0.0022962479006354004,,,,,,,0.183,0.194,0.0,0.135,0.0,0.0,0.0,0.029,0.227,0.193,0.026,0.013,0.0033939157617287564
chapman,gbm,ST,235,1535,0.0018742308437660993,-0.0033311008762862138,0.007042223187946614,0.0014903766136024638,-0.004757034545298902,0.007639265695877747,,,,,,,0.15,0.404,0.01,0.077,0.0,0.334,0.0,0.0,0.0,0.002,0.004,0.019,0.004920496045803137
chapman,gbm,STTC,174,1535,0.03521525804337688,-0.034139174098932835,0.10684237933230893,-0.09252273129513179,-0.17187717360265947,-0.009256834890272346,,,,,,,0.0,0.036,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.001,0.907,0.049,0.014773949226337567
chapman,gbm,LVH,196,1535,0.035021642321187554,-0.011185614889227292,0.08000731153214607,0.004697501458316758,-0.037429559174128144,0.04906560683471781,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0039533027920815615
chapman,gbm,RBBB,68,1535,-0.4708454113502423,-0.5919817636896909,-0.3322817249725964,-0.624791566181664,-0.7450187015618696,-0.49288616910768285,,,,,,,0.042,0.0,0.0,0.0,0.0,0.0,0.908,0.046,0.004,0.0,0.0,0.0,0.01309552582028899
ningbo,seresnet,TWC,774,5225,0.043301780104087195,-0.0017495883026024683,0.08600750459604452,-0.0687972276632948,-0.11365910965919428,-0.024900886064527186,0.0104262709232393,0.0021379863713148566,0.018749394606091575,0.013645234813391867,0.005072661709413162,0.02226145886786494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0015183023487940711
ningbo,seresnet,LAD,175,5225,0.5193491212066691,0.4396535515751914,0.591063123317065,0.38539761531603495,0.30378575403317915,0.46636860265039126,-0.00643151049853673,-0.02971194115868809,0.016014105419186624,0.011049651566046575,-0.011078033399551315,0.0344134616279521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006134055991262064
ningbo,seresnet,SB,1899,5225,-0.0010861313858172967,-0.006968378487842553,0.00371490056136636,-0.0005837153468811213,-0.006042144624018348,0.003966465301838131,-0.0009362975090286378,-0.0029546096649195747,0.0006374511495924655,-0.0008786387475091665,-0.0038086785292117953,0.0010202334675899062,0.018,0.051,0.01,0.065,0.0,0.104,0.001,0.156,0.272,0.003,0.213,0.107,0.002909133937948211
ningbo,seresnet,SVT,19,5225,0.046519413464583104,-0.12899424466805623,0.22784979490880486,0.08121920210443834,-0.0659424006347912,0.23811710265774919,-0.020312604463272543,-0.11870408992562535,0.08207655792781793,-0.08985117071330959,-0.1954013942179658,0.00432142640901,0.005,0.097,0.02,0.025,0.092,0.247,0.194,0.196,0.032,0.022,0.051,0.019,0.213028139220311
ningbo,seresnet,SR,942,5225,0.018309679320639854,0.009666345906672097,0.028698660208709523,0.01901210024847754,0.010400880640559865,0.029768098154280595,-0.002552636656508081,-0.006341838956802537,0.0004560955131259035,0.0004548100611479858,-0.0015589434956269686,0.0025660499273455198,0.0,0.288,0.0,0.149,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.002354597668974822
ningbo,seresnet,ST,852,5225,0.00416991436144909,0.0017441809413501735,0.006831993499497676,0.0030915322217182333,0.00047442644383728096,0.0064273772697451045,-0.00036581124507938724,-0.001069185574068221,0.00037566247195947586,-0.00043749437443658056,-0.0013608145510200064,0.0004240576949338798,0.0,0.731,0.0,0.186,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0007613779584347391
ningbo,seresnet,STTC,633,5225,0.026332210697271048,-0.011425039617740993,0.0652873456978588,-0.032827231348677946,-0.07710920424874468,0.00824401808103513,0.0015152904671696778,-0.0059189752777045555,0.009596411610024455,-0.0018424526532979644,-0.009631365281865239,0.005681341668159584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.18,0.004985768228277835
ningbo,seresnet,LVH,710,5225,0.04463793125862515,0.004400304012072501,0.08397996780824704,0.007560351582309299,-0.032175985106734833,0.04797725467083066,0.004754585966902452,-0.002519378103963765,0.01233436597731999,-0.004393788053476851,-0.011880185543315746,0.0037411721185219744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0004089316626521494
ningbo,seresnet,RBBB,193,5225,-0.08918283960057928,-0.12858014131872203,-0.05648682651670009,-0.10288532514418791,-0.1413283636066381,-0.06923733129257897,-0.005690445969936898,-0.014595661846879155,0.0011414805634726098,-0.003812236417550543,-0.00984907686601682,0.001137851706388745,0.013,0.0,0.0,0.0,0.0,0.0,0.922,0.023,0.042,0.0,0.0,0.0,0.0033502842033004444
ningbo,inceptiontime,TWC,774,5225,0.025054207353263025,-0.019748671617793413,0.06800405232371864,-0.09128768184156384,-0.137537201251792,-0.04888368334270261,0.003711544584956227,-0.004656225751604168,0.012776571938844503,0.006371772726220135,-0.0042476339703856865,0.01713028682773635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0025510768620556745
ningbo,inceptiontime,LAD,175,5225,0.4792495330261302,0.3983684765683544,0.5523672866276712,0.4125016881409248,0.33596460261854827,0.4848075909965398,0.01388311167138529,-0.012333606009810505,0.04159259060519535,-0.01717490134777586,-0.04716058428989384,0.013539991416811486,0.0,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.00578959913662191
ningbo,inceptiontime,SB,1899,5225,0.00010655716655829072,-0.0017242859490474466,0.0016488017660981288,-0.0002402754929464882,-0.0035760243027328636,0.0021487588268144257,-0.000517029069523032,-0.001854087917953781,0.0003878959318857039,-0.0010554343877304086,-0.0029857230960043807,0.00017059532912355166,0.227,0.256,0.0,0.016,0.0,0.276,0.005,0.086,0.022,0.088,0.012,0.012,0.0026318866047619982
ningbo,inceptiontime,SVT,19,5225,-0.08750206928704346,-0.27846839356027014,0.08038032768443976,-0.004477616715871429,-0.22122814411129793,0.2082095312935789,-0.03648356789324811,-0.12380179809234627,0.0553990527283712,-0.09153210418708209,-0.19894174309967172,-0.005600379439337493,0.144,0.002,0.138,0.0,0.167,0.193,0.23,0.002,0.014,0.011,0.024,0.075,0.19015685732224416
ningbo,inceptiontime,SR,942,5225,0.02258101071502257,0.00852632478470006,0.03693114274669211,0.01967207643100697,0.005884240083149614,0.03436608311564838,0.0004457948217301455,-0.004678604408627216,0.005250280629415746,-0.0017696854024420836,-0.005531518505965669,0.002069076414392043,0.0,0.187,0.007,0.455,0.0,0.072,0.078,0.106,0.023,0.0,0.072,0.0,0.009143543182256481
ningbo,inceptiontime,ST,852,5225,0.004768994644030871,0.0019571490098942075,0.007722900011361736,0.002845626162387842,-0.0011049139718265239,0.006653257862630346,-0.0004651814087132735,-0.0020836170102885936,0.0010540895254397109,-0.0007342096986452361,-0.0025006922603360653,0.0008226335480726791,0.0,0.738,0.0,0.21,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0015156411300162164
ningbo,inceptiontime,STTC,633,5225,0.019608726706712994,-0.020141174941834806,0.05925802627779351,-0.04290024465499911,-0.08690818445738298,-0.001095335958619848,0.0030749561064058123,-0.004920737950576395,0.011317740904046024,-0.0022282837670634026,-0.011632821693396892,0.007230672110728023,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.703,0.296,0.007182374124175113
ningbo,inceptiontime,LVH,710,5225,0.04183839934436138,0.002876120694369794,0.07892296600840443,-0.0006455538520061668,-0.04373112171383581,0.040017963780614,-0.0015374180454251459,-0.010124937509922726,0.006318290113195507,-0.01094067473190979,-0.023197853357415026,8.27167005418152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00028905848935156965
ningbo,inceptiontime,RBBB,193,5225,-0.14760104557137446,-0.19883824259732583,-0.10110996263084845,-0.1783209125416115,-0.2345496744777177,-0.13108250430976648,-0.004749292760102985,-0.009845516856100616,-0.00034677803816841456,-0.0009571779076495546,-0.006686667019788156,0.004915992379159653,0.078,0.0,0.0,0.0,0.0,0.0,0.922,0.0,0.0,0.0,0.0,0.0,0.001913437208319085
georgia,seresnet,AF,85,1544,0.010042254902051784,-0.07800336691216668,0.10082986704544661,0.03785246185900973,-0.040709367948242994,0.12401531170758884,0.008976164289139981,-0.0207140165212095,0.04022547575766388,-0.028716236179816817,-0.07156851864322435,0.012146181868737229,0.002,0.001,0.02,0.093,0.0,0.041,0.003,0.031,0.02,0.731,0.009,0.049,0.04834966443225152
georgia,seresnet,AFL,28,1544,0.06484490591612142,-0.0962874318196484,0.2233818767837527,0.010191331966910917,-0.16620607068731402,0.17356936625394975,-0.006655487645190174,-0.071431873479922,0.059674833292894615,0.012271275525195927,-0.07105658314014328,0.1013849203129394,0.002,0.015,0.039,0.014,0.003,0.0,0.818,0.058,0.005,0.039,0.001,0.006,0.06385742785798669
georgia,seresnet,TWC,345,1544,-0.03590948495690573,-0.08514428997296826,0.017297583737979145,-0.1259579637786622,-0.1905210751389455,-0.06086378074700805,-0.012488572898741385,-0.026552760124402247,0.0007836639049442619,-0.007057831251721293,-0.022255620550361132,0.008518351181531401,0.034,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.463,0.107,0.302,0.027575315686103226
georgia,seresnet,LAD,141,1544,0.3975153215458241,0.30528809285291114,0.4918561346534058,0.3825976786205872,0.3085613023687698,0.4595594199571718,0.01418912293593339,-0.011195322576623016,0.04231963009609159,-0.007880169737971796,-0.03627020499636845,0.019191802717750443,0.0,0.67,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0218114627305968
georgia,seresnet,SB,250,1544,-0.0017719367261776972,-0.011378036434484328,0.00804162472675358,-0.005968859207597807,-0.017452532384396053,0.0030254400853339364,-0.00028417486631028164,-0.005916006657365594,0.005453831478091744,0.0008487717459620193,-0.008828656298216228,0.01366843250623658,0.061,0.064,0.0,0.01,0.001,0.004,0.073,0.565,0.006,0.127,0.0,0.089,0.009882278344608612
georgia,seresnet,SVT,5,1544,0.16592980896599788,0.002770626794224427,0.4869243543292452,0.14361939592833625,-0.01913347004352968,0.4699484309502456,0.11021084168975227,-0.008174575186215427,0.3439203319948357,-0.10665766608524632,-0.3750000024586916,0.00022982388412128138,0.0,0.013131313131313131,0.00202020202020202,0.5949494949494949,0.0,0.0,0.011111111111111112,0.0,0.23535353535353534,0.11616161616161616,0.015151515151515152,0.012121212121212121,0.1537150819875093
georgia,seresnet,SR,260,1544,0.026704678684026456,-0.02760882102069919,0.0788295856336698,-0.02962840058975256,-0.08925457199513008,0.029056182387041073,0.00045926134282811136,-0.021266573175571905,0.022043932950473737,-0.009012395191125564,-0.02896327916013832,0.014261487107866965,0.0,0.01,0.0,0.241,0.0,0.0,0.0,0.0,0.001,0.649,0.061,0.038,0.02743779320094277
